,year,sum,variable,timescale,region
0,2002,378024006.803088,Cem_Total,seasonal_jja,region_40
1,2003,223964498.1202325,Cem_Total,seasonal_jja,region_40
2,2004,398394341.8491909,Cem_Total,seasonal_jja,region_40
3,2005,271535851.1194482,Cem_Total,seasonal_jja,region_40
4,2006,378887981.0920424,Cem_Total,seasonal_jja,region_40
5,2007,398035087.74933606,Cem_Total,seasonal_jja,region_40
6,2008,283805303.64653957,Cem_Total,seasonal_jja,region_40
7,2009,246422309.49176297,Cem_Total,seasonal_jja,region_40
8,2010,288414900.9405705,Cem_Total,seasonal_jja,region_40
9,2011,517175099.01882434,Cem_Total,seasonal_jja,region_40
10,2012,554069451.9219044,Cem_Total,seasonal_jja,region_40
11,2013,275280231.1933291,Cem_Total,seasonal_jja,region_40
12,2014,480403425.99805653,Cem_Total,seasonal_jja,region_40
13,2015,300139767.3645385,Cem_Total,seasonal_jja,region_40
14,2016,275862895.4691404,Cem_Total,seasonal_jja,region_40
15,2017,302777111.6729217,Cem_Total,seasonal_jja,region_40
16,2018,326154262.0547206,Cem_Total,seasonal_jja,region_40
17,2019,324469861.62870073,Cem_Total,seasonal_jja,region_40
18,2020,228357565.91408288,Cem_Total,seasonal_jja,region_40
