,year,sum,variable,timescale,region
0,2002,59709321.12963894,Cem_Total,seasonal_mam,region_25
1,2003,242584403.32268882,Cem_Total,seasonal_mam,region_25
2,2004,138535483.55648294,Cem_Total,seasonal_mam,region_25
3,2005,105654507.75754653,Cem_Total,seasonal_mam,region_25
4,2006,30147560.18813596,Cem_Total,seasonal_mam,region_25
5,2007,86711213.35392182,Cem_Total,seasonal_mam,region_25
6,2008,75466461.75327702,Cem_Total,seasonal_mam,region_25
7,2009,52390049.04330233,Cem_Total,seasonal_mam,region_25
8,2010,87585288.83852497,Cem_Total,seasonal_mam,region_25
9,2011,62167701.86814879,Cem_Total,seasonal_mam,region_25
10,2012,107803604.0176212,Cem_Total,seasonal_mam,region_25
11,2013,53507346.735241234,Cem_Total,seasonal_mam,region_25
12,2014,79650638.33907047,Cem_Total,seasonal_mam,region_25
13,2015,69816155.59941027,Cem_Total,seasonal_mam,region_25
14,2016,47998977.13959445,Cem_Total,seasonal_mam,region_25
15,2017,97583570.53131366,Cem_Total,seasonal_mam,region_25
16,2018,13922077.163554812,Cem_Total,seasonal_mam,region_25
17,2019,65693390.6881545,Cem_Total,seasonal_mam,region_25
18,2020,24805406.45150682,Cem_Total,seasonal_mam,region_25
