,year,sum,variable,timescale,region
0,2001,1158836941.9975183,Cem_Total,yearly_jj,region_06
1,2002,1935939746.8686287,Cem_Total,yearly_jj,region_06
2,2003,3506704595.1006746,Cem_Total,yearly_jj,region_06
3,2004,2863501822.5500073,Cem_Total,yearly_jj,region_06
4,2005,5530281048.375957,Cem_Total,yearly_jj,region_06
5,2006,9657368727.313383,Cem_Total,yearly_jj,region_06
6,2007,4532335542.451507,Cem_Total,yearly_jj,region_06
7,2008,3632859121.3829465,Cem_Total,yearly_jj,region_06
8,2009,4228399961.354168,Cem_Total,yearly_jj,region_06
9,2010,5816772294.478818,Cem_Total,yearly_jj,region_06
10,2011,6822817648.774611,Cem_Total,yearly_jj,region_06
11,2012,3708969485.24811,Cem_Total,yearly_jj,region_06
12,2013,2298864254.5363817,Cem_Total,yearly_jj,region_06
13,2014,2185009866.1167006,Cem_Total,yearly_jj,region_06
14,2015,3198255982.2547626,Cem_Total,yearly_jj,region_06
15,2016,5594594825.386489,Cem_Total,yearly_jj,region_06
16,2017,3714124105.431555,Cem_Total,yearly_jj,region_06
17,2018,3792821290.0679445,Cem_Total,yearly_jj,region_06
18,2019,2932248468.3419075,Cem_Total,yearly_jj,region_06
19,2020,1557871308.4471831,Cem_Total,yearly_jj,region_06
