,year,sum,variable,timescale,region
0,2002,1038500884.9491568,Cem_Forest_NonForest,seasonal_son,region_27
1,2003,836896326.91819,Cem_Forest_NonForest,seasonal_son,region_27
2,2004,811085755.6511201,Cem_Forest_NonForest,seasonal_son,region_27
3,2005,362167943.1541058,Cem_Forest_NonForest,seasonal_son,region_27
4,2006,798918983.8649437,Cem_Forest_NonForest,seasonal_son,region_27
5,2007,677223937.7647353,Cem_Forest_NonForest,seasonal_son,region_27
6,2008,693121059.5110033,Cem_Forest_NonForest,seasonal_son,region_27
7,2009,637920168.0850474,Cem_Forest_NonForest,seasonal_son,region_27
8,2010,1085503080.5067627,Cem_Forest_NonForest,seasonal_son,region_27
9,2011,576876055.6371108,Cem_Forest_NonForest,seasonal_son,region_27
10,2012,559343886.7397938,Cem_Forest_NonForest,seasonal_son,region_27
11,2013,693980380.9999008,Cem_Forest_NonForest,seasonal_son,region_27
12,2014,648187288.1714132,Cem_Forest_NonForest,seasonal_son,region_27
13,2015,677055514.7947752,Cem_Forest_NonForest,seasonal_son,region_27
14,2016,993835850.3312267,Cem_Forest_NonForest,seasonal_son,region_27
15,2017,828804332.5824794,Cem_Forest_NonForest,seasonal_son,region_27
16,2018,866674010.7436603,Cem_Forest_NonForest,seasonal_son,region_27
17,2019,589021272.0586855,Cem_Forest_NonForest,seasonal_son,region_27
18,2020,548139325.9389768,Cem_Forest_NonForest,seasonal_son,region_27
