,year,sum,variable,timescale,region
0,2000,295.0,BA_Forest_NonForest,yearly_jj,region_02
1,2001,5361.0,BA_Forest_NonForest,yearly_jj,region_02
2,2002,25632.0,BA_Forest_NonForest,yearly_jj,region_02
3,2003,16769.0,BA_Forest_NonForest,yearly_jj,region_02
4,2004,52962.0,BA_Forest_NonForest,yearly_jj,region_02
5,2005,21206.0,BA_Forest_NonForest,yearly_jj,region_02
6,2006,26653.0,BA_Forest_NonForest,yearly_jj,region_02
7,2007,8433.0,BA_Forest_NonForest,yearly_jj,region_02
8,2008,7327.0,BA_Forest_NonForest,yearly_jj,region_02
9,2009,25457.0,BA_Forest_NonForest,yearly_jj,region_02
10,2010,28117.0,BA_Forest_NonForest,yearly_jj,region_02
11,2011,11332.0,BA_Forest_NonForest,yearly_jj,region_02
12,2012,24022.0,BA_Forest_NonForest,yearly_jj,region_02
13,2013,25997.0,BA_Forest_NonForest,yearly_jj,region_02
14,2014,50552.0,BA_Forest_NonForest,yearly_jj,region_02
15,2015,131806.0,BA_Forest_NonForest,yearly_jj,region_02
16,2016,6088.0,BA_Forest_NonForest,yearly_jj,region_02
17,2017,52180.0,BA_Forest_NonForest,yearly_jj,region_02
18,2018,57529.0,BA_Forest_NonForest,yearly_jj,region_02
19,2019,28704.0,BA_Forest_NonForest,yearly_jj,region_02
20,2020,3454.0,BA_Forest_NonForest,yearly_jj,region_02
21,2021,47678.0,BA_Forest_NonForest,yearly_jj,region_02
22,2022,100517.0,BA_Forest_NonForest,yearly_jj,region_02
23,2023,51378.0,BA_Forest_NonForest,yearly_jj,region_02
