,year,sum,variable,timescale,region
0,2000,753423.0,BA_Total,yearly_jj,region_24
1,2001,1790000.0,BA_Total,yearly_jj,region_24
2,2002,1894903.0,BA_Total,yearly_jj,region_24
3,2003,1922443.0,BA_Total,yearly_jj,region_24
4,2004,1872078.0,BA_Total,yearly_jj,region_24
5,2005,2063723.0,BA_Total,yearly_jj,region_24
6,2006,1869693.0,BA_Total,yearly_jj,region_24
7,2007,1936163.0,BA_Total,yearly_jj,region_24
8,2008,1743277.0,BA_Total,yearly_jj,region_24
9,2009,1772681.0,BA_Total,yearly_jj,region_24
10,2010,1701483.0,BA_Total,yearly_jj,region_24
11,2011,1816769.0,BA_Total,yearly_jj,region_24
12,2012,1798692.0,BA_Total,yearly_jj,region_24
13,2013,1613528.0,BA_Total,yearly_jj,region_24
14,2014,1677188.0,BA_Total,yearly_jj,region_24
15,2015,1739029.0,BA_Total,yearly_jj,region_24
16,2016,1744479.0,BA_Total,yearly_jj,region_24
17,2017,1672290.0,BA_Total,yearly_jj,region_24
18,2018,1795898.0,BA_Total,yearly_jj,region_24
19,2019,1452385.0,BA_Total,yearly_jj,region_24
20,2020,1552487.0,BA_Total,yearly_jj,region_24
21,2021,1491609.0,BA_Total,yearly_jj,region_24
22,2022,1454944.0,BA_Total,yearly_jj,region_24
23,2023,2855.0,BA_Total,yearly_jj,region_24
