,year,sum,variable,timescale,region
0,2002,32801589.571031265,Cem_Total,seasonal_mam,region_36
1,2003,73133721.46653338,Cem_Total,seasonal_mam,region_36
2,2004,208917212.63450587,Cem_Total,seasonal_mam,region_36
3,2005,143318873.55325067,Cem_Total,seasonal_mam,region_36
4,2006,105971593.8120443,Cem_Total,seasonal_mam,region_36
5,2007,274448481.8259591,Cem_Total,seasonal_mam,region_36
6,2008,103885958.1617048,Cem_Total,seasonal_mam,region_36
7,2009,132795102.24466668,Cem_Total,seasonal_mam,region_36
8,2010,156732869.61181673,Cem_Total,seasonal_mam,region_36
9,2011,54994043.20105829,Cem_Total,seasonal_mam,region_36
10,2012,129691847.17168084,Cem_Total,seasonal_mam,region_36
11,2013,125763939.0607881,Cem_Total,seasonal_mam,region_36
12,2014,117155698.70991121,Cem_Total,seasonal_mam,region_36
13,2015,88842083.92171302,Cem_Total,seasonal_mam,region_36
14,2016,142496394.16502672,Cem_Total,seasonal_mam,region_36
15,2017,81273558.30035947,Cem_Total,seasonal_mam,region_36
16,2018,35707753.06742887,Cem_Total,seasonal_mam,region_36
17,2019,99129634.05881017,Cem_Total,seasonal_mam,region_36
18,2020,274576767.2539363,Cem_Total,seasonal_mam,region_36
