,year,sum,variable,timescale,region
0,2001,160.90217391304344,BA_Total,seasonal_mam,region_13
1,2002,240.72967863894138,BA_Total,seasonal_mam,region_13
2,2003,232.49385633270322,BA_Total,seasonal_mam,region_13
3,2004,297.35255198487715,BA_Total,seasonal_mam,region_13
4,2005,275.0236294896031,BA_Total,seasonal_mam,region_13
5,2006,235.42438563327036,BA_Total,seasonal_mam,region_13
6,2007,252.64886578449904,BA_Total,seasonal_mam,region_13
7,2008,186.39981096408317,BA_Total,seasonal_mam,region_13
8,2009,266.55529300567105,BA_Total,seasonal_mam,region_13
9,2010,426.70888468809073,BA_Total,seasonal_mam,region_13
10,2011,161.38279773156899,BA_Total,seasonal_mam,region_13
11,2012,185.3648393194707,BA_Total,seasonal_mam,region_13
12,2013,203.4432892249527,BA_Total,seasonal_mam,region_13
13,2014,228.97353497164468,BA_Total,seasonal_mam,region_13
14,2015,170.71266540642725,BA_Total,seasonal_mam,region_13
15,2016,384.335538752363,BA_Total,seasonal_mam,region_13
16,2017,200.48629489603024,BA_Total,seasonal_mam,region_13
17,2018,244.85160680529296,BA_Total,seasonal_mam,region_13
18,2019,233.6677693761815,BA_Total,seasonal_mam,region_13
19,2020,398.5255198487713,BA_Total,seasonal_mam,region_13
20,2021,275.4659735349717,BA_Total,seasonal_mam,region_13
21,2022,335.4045368620038,BA_Total,seasonal_mam,region_13
22,2023,151.57466918714553,BA_Total,seasonal_mam,region_13
