,year,sum,variable,timescale,region
0,2001,24.34420642648491,BA_Total,seasonal_jja,region_22
1,2002,52.441090555014604,BA_Total,seasonal_jja,region_22
2,2003,15.37147030185005,BA_Total,seasonal_jja,region_22
3,2004,95.44985394352483,BA_Total,seasonal_jja,region_22
4,2005,40.66212268743914,BA_Total,seasonal_jja,region_22
5,2006,93.92599805258033,BA_Total,seasonal_jja,region_22
6,2007,70.2078870496592,BA_Total,seasonal_jja,region_22
7,2008,55.10223953261928,BA_Total,seasonal_jja,region_22
8,2009,66.23807205452776,BA_Total,seasonal_jja,region_22
9,2010,93.43962999026292,BA_Total,seasonal_jja,region_22
10,2011,144.7458617332035,BA_Total,seasonal_jja,region_22
11,2012,46.25267770204479,BA_Total,seasonal_jja,region_22
12,2013,87.22297955209346,BA_Total,seasonal_jja,region_22
13,2014,90.78432327166504,BA_Total,seasonal_jja,region_22
14,2015,40.94498539435248,BA_Total,seasonal_jja,region_22
15,2016,156.11879259980523,BA_Total,seasonal_jja,region_22
16,2017,81.17575462512171,BA_Total,seasonal_jja,region_22
17,2018,41.551606621226874,BA_Total,seasonal_jja,region_22
18,2019,99.74050632911391,BA_Total,seasonal_jja,region_22
19,2020,37.26484907497566,BA_Total,seasonal_jja,region_22
20,2021,94.09152872444012,BA_Total,seasonal_jja,region_22
21,2022,36.4255111976631,BA_Total,seasonal_jja,region_22
22,2023,63.37390457643623,BA_Total,seasonal_jja,region_22
