,year,sum,variable,timescale,region
0,2001,54.165362035225044,BA_Total,seasonal_djf,region_13
1,2002,129.34442270058707,BA_Total,seasonal_djf,region_13
2,2003,118.74070450097842,BA_Total,seasonal_djf,region_13
3,2004,161.80626223091974,BA_Total,seasonal_djf,region_13
4,2005,60.78864970645791,BA_Total,seasonal_djf,region_13
5,2006,98.53816046966732,BA_Total,seasonal_djf,region_13
6,2007,201.97651663405085,BA_Total,seasonal_djf,region_13
7,2008,172.24853228962812,BA_Total,seasonal_djf,region_13
8,2009,198.48679060665356,BA_Total,seasonal_djf,region_13
9,2010,440.7548923679059,BA_Total,seasonal_djf,region_13
10,2011,161.13943248532289,BA_Total,seasonal_djf,region_13
11,2012,181.75684931506845,BA_Total,seasonal_djf,region_13
12,2013,181.5406066536203,BA_Total,seasonal_djf,region_13
13,2014,92.6046966731898,BA_Total,seasonal_djf,region_13
14,2015,362.85861056751446,BA_Total,seasonal_djf,region_13
15,2016,318.35763209393343,BA_Total,seasonal_djf,region_13
16,2017,213.38258317025438,BA_Total,seasonal_djf,region_13
17,2018,261.63502935420735,BA_Total,seasonal_djf,region_13
18,2019,409.9124266144814,BA_Total,seasonal_djf,region_13
19,2020,482.6100782778864,BA_Total,seasonal_djf,region_13
20,2021,236.52446183953026,BA_Total,seasonal_djf,region_13
21,2022,353.1981409001956,BA_Total,seasonal_djf,region_13
22,2023,255.44716242661448,BA_Total,seasonal_djf,region_13
