,year,sum,variable,timescale,region
0,2001,994.2412587412589,BA_Total,seasonal_son,region_42
1,2002,764.0349650349652,BA_Total,seasonal_son,region_42
2,2003,324.29520479520494,BA_Total,seasonal_son,region_42
3,2004,824.072927072927,BA_Total,seasonal_son,region_42
4,2005,312.08941058941053,BA_Total,seasonal_son,region_42
5,2006,483.24375624375625,BA_Total,seasonal_son,region_42
6,2007,118.74725274725274,BA_Total,seasonal_son,region_42
7,2008,549.614885114885,BA_Total,seasonal_son,region_42
8,2009,1354.5839160839162,BA_Total,seasonal_son,region_42
9,2010,88.33916083916084,BA_Total,seasonal_son,region_42
10,2011,2264.942057942058,BA_Total,seasonal_son,region_42
11,2012,1391.7352647352645,BA_Total,seasonal_son,region_42
12,2013,685.4555444555446,BA_Total,seasonal_son,region_42
13,2014,299.20729270729265,BA_Total,seasonal_son,region_42
14,2015,281.41458541458536,BA_Total,seasonal_son,region_42
15,2016,291.32917082917083,BA_Total,seasonal_son,region_42
16,2017,276.48801198801203,BA_Total,seasonal_son,region_42
17,2018,465.17582417582423,BA_Total,seasonal_son,region_42
18,2019,1279.1738261738265,BA_Total,seasonal_son,region_42
19,2020,338.9620379620379,BA_Total,seasonal_son,region_42
20,2021,293.28171828171827,BA_Total,seasonal_son,region_42
21,2022,132.4110889110889,BA_Total,seasonal_son,region_42
