,year,sum,variable,timescale,region
0,2001,0.3596403596403597,BA_Forest_NonForest,seasonal_son,region_29
1,2002,0.2547452547452548,BA_Forest_NonForest,seasonal_son,region_29
2,2003,13.261738261738264,BA_Forest_NonForest,seasonal_son,region_29
3,2004,0.0,BA_Forest_NonForest,seasonal_son,region_29
4,2005,0.1198801198801199,BA_Forest_NonForest,seasonal_son,region_29
5,2006,0.9740259740259742,BA_Forest_NonForest,seasonal_son,region_29
6,2007,0.6293706293706294,BA_Forest_NonForest,seasonal_son,region_29
7,2008,0.3146853146853147,BA_Forest_NonForest,seasonal_son,region_29
8,2009,1.0339660339660341,BA_Forest_NonForest,seasonal_son,region_29
9,2010,0.014985014985014986,BA_Forest_NonForest,seasonal_son,region_29
10,2011,0.4345654345654346,BA_Forest_NonForest,seasonal_son,region_29
11,2012,0.20979020979020982,BA_Forest_NonForest,seasonal_son,region_29
12,2013,0.44955044955044965,BA_Forest_NonForest,seasonal_son,region_29
13,2014,0.029970029970029972,BA_Forest_NonForest,seasonal_son,region_29
14,2015,0.0,BA_Forest_NonForest,seasonal_son,region_29
15,2016,0.5394605394605395,BA_Forest_NonForest,seasonal_son,region_29
16,2017,2.7422577422577423,BA_Forest_NonForest,seasonal_son,region_29
17,2018,1.7232767232767234,BA_Forest_NonForest,seasonal_son,region_29
18,2019,1.8281718281718282,BA_Forest_NonForest,seasonal_son,region_29
19,2020,35.3946053946054,BA_Forest_NonForest,seasonal_son,region_29
20,2021,51.188811188811194,BA_Forest_NonForest,seasonal_son,region_29
21,2022,0.04495504495504496,BA_Forest_NonForest,seasonal_son,region_29
