variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
BA_Total,monthly,WNA,2001,0.06,0.0,0.753,0.465,0.43,0.634,4.73,19.528,3.98,1.605,0.165,0.0,thousand_km2
BA_Total,monthly,WNA,2002,0.04,0.163,0.375,0.175,1.105,18.797,17.458,10.181,4.219,1.411,0.93,0.229,thousand_km2
BA_Total,monthly,WNA,2003,0.171,0.033,0.245,0.167,0.436,2.047,10.196,17.232,8.195,8.065,2.07,0.004,thousand_km2
BA_Total,monthly,WNA,2004,0.107,0.059,1.476,0.307,0.991,2.397,5.36,4.057,2.989,2.013,1.202,0.026,thousand_km2
BA_Total,monthly,WNA,2005,0.075,0.174,0.488,1.086,0.655,21.014,16.9,8.588,6.396,2.657,0.503,0.086,thousand_km2
BA_Total,monthly,WNA,2006,0.608,1.258,0.151,3.031,0.725,6.245,25.877,29.086,17.382,2.758,0.733,0.424,thousand_km2
BA_Total,monthly,WNA,2007,0.437,0.23,2.429,0.211,0.396,2.332,47.109,32.056,8.773,4.177,0.313,0.062,thousand_km2
BA_Total,monthly,WNA,2008,0.0,0.219,0.306,0.936,0.662,6.216,13.53,8.814,3.484,2.872,1.145,0.042,thousand_km2
BA_Total,monthly,WNA,2009,0.522,0.227,0.732,1.572,0.463,0.478,1.518,9.941,4.62,1.451,0.447,0.076,thousand_km2
BA_Total,monthly,WNA,2010,0.015,0.296,0.804,0.905,0.195,1.64,4.463,8.718,5.466,2.586,0.415,0.099,thousand_km2
BA_Total,monthly,WNA,2011,0.391,0.018,0.13,0.978,0.401,7.66,2.532,11.775,5.209,7.977,0.307,0.586,thousand_km2
BA_Total,monthly,WNA,2012,0.084,0.194,0.307,0.637,2.354,13.358,28.258,47.713,14.258,2.771,0.447,0.0,thousand_km2
BA_Total,monthly,WNA,2013,0.009,0.076,0.436,0.107,1.544,4.421,7.284,19.984,2.573,1.093,0.183,0.749,thousand_km2
BA_Total,monthly,WNA,2014,0.07,0.348,0.32,1.052,0.497,1.279,18.983,9.952,3.827,1.072,0.18,0.012,thousand_km2
BA_Total,monthly,WNA,2015,0.178,0.308,0.326,0.835,0.149,2.423,2.834,43.544,7.298,1.566,0.281,0.007,thousand_km2
BA_Total,monthly,WNA,2016,0.0,0.0,0.97,0.981,0.879,6.394,10.583,16.942,5.33,1.282,0.304,0.073,thousand_km2
BA_Total,monthly,WNA,2017,0.068,0.047,0.393,0.68,0.668,5.345,31.351,23.136,21.958,4.784,0.767,6.116,thousand_km2
BA_Total,monthly,WNA,2018,3.478,0.3,0.285,1.634,0.929,6.726,32.955,36.961,9.516,3.742,4.234,0.216,thousand_km2
BA_Total,monthly,WNA,2019,0.015,0.007,0.587,0.413,0.711,1.074,5.012,5.565,4.657,3.055,2.671,0.374,thousand_km2
BA_Total,monthly,WNA,2020,0.189,0.894,0.112,0.062,0.851,5.673,7.579,37.226,77.587,6.523,5.028,0.185,thousand_km2
BA_Total,monthly,WNA,2021,0.266,1.038,1.297,1.085,1.542,8.582,34.048,40.278,14.75,2.801,0.332,0.001,thousand_km2
BA_Total,monthly,WNA,2022,0.329,0.41,0.72,2.246,4.33,3.49,5.048,5.949,13.81,2.165,0.935,0.049,thousand_km2
BA_Total,monthly,WNA,2023,0.304,0.133,0.342,0.57,0.309,1.258,6.014,11.375,3.361,1.536,0.826,0.08,thousand_km2
BA_Total,monthly,WNA,2024,0.013,0.02,,,,,,,,,,,thousand_km2
