variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
BA_Total,monthly,ECA,2001,0.0,0.0,0.171,0.227,0.13,1.17,2.138,0.523,0.487,0.123,0.007,0.0,thousand_km2
BA_Total,monthly,ECA,2002,0.047,0.0,0.02,0.053,0.008,0.082,0.89,2.437,3.621,2.739,0.26,0.0,thousand_km2
BA_Total,monthly,ECA,2003,0.39,0.037,0.239,0.586,0.062,0.158,0.218,0.774,3.196,3.924,0.034,0.0,thousand_km2
BA_Total,monthly,ECA,2004,0.0,1.233,0.63,0.39,0.005,2.876,0.662,2.01,0.874,0.96,0.325,0.0,thousand_km2
BA_Total,monthly,ECA,2005,0.0,1.275,0.161,0.224,0.0,1.993,5.222,0.238,0.964,2.492,0.042,0.0,thousand_km2
BA_Total,monthly,ECA,2006,0.015,0.058,1.525,0.236,0.0,0.102,0.572,1.589,2.178,0.485,0.02,0.0,thousand_km2
BA_Total,monthly,ECA,2007,0.016,0.0,0.019,0.037,0.051,4.301,0.441,0.887,2.791,2.76,1.578,0.007,thousand_km2
BA_Total,monthly,ECA,2008,0.0,0.237,0.427,0.056,0.026,0.233,0.242,0.353,0.452,0.066,0.065,0.0,thousand_km2
BA_Total,monthly,ECA,2009,0.0,0.013,0.515,0.012,0.002,0.27,3.298,0.502,0.268,0.716,0.179,0.063,thousand_km2
BA_Total,monthly,ECA,2010,0.0,0.083,0.588,0.805,0.008,0.135,0.291,0.461,0.451,0.103,0.173,0.043,thousand_km2
BA_Total,monthly,ECA,2011,0.019,0.0,0.102,0.509,0.011,0.0,0.118,0.22,0.943,0.236,0.09,0.0,thousand_km2
BA_Total,monthly,ECA,2012,0.004,0.0,0.134,0.748,0.0,0.204,0.008,0.373,0.562,0.963,0.293,0.0,thousand_km2
BA_Total,monthly,ECA,2013,0.0,0.0,0.4,0.347,0.081,0.003,0.336,0.072,1.119,0.546,1.058,0.013,thousand_km2
BA_Total,monthly,ECA,2014,0.0,0.3,0.501,0.659,0.041,0.94,0.59,0.462,0.874,1.157,0.425,0.017,thousand_km2
BA_Total,monthly,ECA,2015,0.0,0.074,0.323,0.203,0.012,0.222,1.383,0.714,0.822,1.029,0.107,0.037,thousand_km2
BA_Total,monthly,ECA,2016,0.008,0.093,0.592,0.177,0.0,0.0,0.002,0.066,0.57,0.348,0.156,0.0,thousand_km2
BA_Total,monthly,ECA,2017,0.006,0.0,0.242,1.094,0.035,0.068,2.02,0.446,1.125,1.315,0.196,0.0,thousand_km2
BA_Total,monthly,ECA,2018,0.0,0.126,0.059,0.102,0.07,0.205,2.822,1.592,1.263,0.889,0.159,0.001,thousand_km2
BA_Total,monthly,ECA,2019,0.003,1.038,1.048,0.219,0.422,0.179,0.131,0.641,0.929,0.44,0.191,0.0,thousand_km2
BA_Total,monthly,ECA,2020,0.014,0.02,0.252,0.544,0.006,0.0,0.05,0.558,0.281,0.556,0.032,0.0,thousand_km2
BA_Total,monthly,ECA,2021,0.013,0.0,0.021,0.242,0.01,0.005,0.207,0.106,0.506,0.009,0.104,0.0,thousand_km2
BA_Total,monthly,ECA,2022,0.0,0.0,0.225,0.043,0.001,0.011,0.14,0.103,0.953,0.312,0.179,0.0,thousand_km2
BA_Total,monthly,ECA,2023,0.024,0.021,0.231,0.032,0.002,0.044,0.0,0.009,0.678,1.013,0.051,0.003,thousand_km2
BA_Total,monthly,ECA,2024,0.0,0.069,,,,,,,,,,,thousand_km2
