variable,timescale,region,tstart,tend,statistic,value,unit
Cem_Total,monthly,RFE,2002,2020,mann_kendall_slope,0.0,thousand_tonnes_C/year
Cem_Total,monthly,RFE,2002,2020,theil_sen_slope,-0.002137,thousand_tonnes_C/year
Cem_Total,monthly,RFE,2002,2020,theil_sen_slope_lower,-0.016489,thousand_tonnes_C/year
Cem_Total,monthly,RFE,2002,2020,theil_sen_slope_upper,0.012214,thousand_tonnes_C/year
Cem_Total,monthly,RFE,2002,2020,theil_sen_pvalue_slope,0.769446,1
Cem_Total,monthly,RFE,2002,2020,theil_sen_intercept,2.929061,thousand_tonnes_C
Cem_Total,monthly,RFE,2002,2020,theil_sen_intercept_lower,1.046088,thousand_tonnes_C
Cem_Total,monthly,RFE,2002,2020,theil_sen_intercept_upper,4.812034,thousand_tonnes_C
Cem_Total,monthly,RFE,2002,2020,residual_standard_deviation,7.238166,thousand_tonnes_C
