variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
BA_Forest,monthly,WNA,2001,0.0,0.0,0.001,0.005,0.0,0.0,0.185,1.897,1.143,0.327,0.05,0.0,thousand_km2
BA_Forest,monthly,WNA,2002,0.002,0.002,0.031,0.044,0.033,0.353,3.467,4.95,0.495,0.068,0.407,0.05,thousand_km2
BA_Forest,monthly,WNA,2003,0.078,0.003,0.006,0.001,0.113,0.074,2.183,7.569,3.023,1.267,0.562,0.0,thousand_km2
BA_Forest,monthly,WNA,2004,0.0,0.0,0.042,0.029,0.164,0.082,0.34,0.604,0.139,0.436,0.493,0.0,thousand_km2
BA_Forest,monthly,WNA,2005,0.0,0.031,0.025,0.025,0.0,0.029,0.083,1.822,0.684,0.136,0.031,0.002,thousand_km2
BA_Forest,monthly,WNA,2006,0.0,0.045,0.001,0.29,0.051,0.068,1.213,4.888,4.546,0.215,0.015,0.09,thousand_km2
BA_Forest,monthly,WNA,2007,0.008,0.149,0.302,0.016,0.105,0.086,3.077,11.507,2.762,0.256,0.095,0.003,thousand_km2
BA_Forest,monthly,WNA,2008,0.0,0.03,0.014,0.064,0.247,1.164,4.908,1.494,1.099,0.587,0.16,0.006,thousand_km2
BA_Forest,monthly,WNA,2009,0.046,0.01,0.006,0.455,0.112,0.031,0.194,0.961,0.785,0.347,0.03,0.002,thousand_km2
BA_Forest,monthly,WNA,2010,0.0,0.008,0.047,0.222,0.012,0.065,0.078,0.356,0.446,0.137,0.301,0.002,thousand_km2
BA_Forest,monthly,WNA,2011,0.07,0.0,0.002,0.008,0.021,1.299,0.08,0.823,1.139,0.146,0.056,0.014,thousand_km2
BA_Forest,monthly,WNA,2012,0.0,0.0,0.001,0.024,0.066,0.27,0.28,6.261,4.836,1.056,0.201,0.0,thousand_km2
BA_Forest,monthly,WNA,2013,0.0,0.0,0.001,0.013,0.095,0.281,1.083,4.888,0.576,0.223,0.065,0.323,thousand_km2
BA_Forest,monthly,WNA,2014,0.011,0.0,0.005,0.02,0.128,0.074,1.024,2.854,2.145,0.159,0.005,0.006,thousand_km2
BA_Forest,monthly,WNA,2015,0.05,0.0,0.006,0.042,0.005,0.127,0.481,18.861,2.914,0.417,0.073,0.001,thousand_km2
BA_Forest,monthly,WNA,2016,0.0,0.0,0.124,0.127,0.219,0.335,1.209,2.945,1.118,0.517,0.026,0.045,thousand_km2
BA_Forest,monthly,WNA,2017,0.0,0.0,0.0,0.027,0.021,0.159,0.974,8.327,11.814,1.417,0.469,0.411,thousand_km2
BA_Forest,monthly,WNA,2018,1.751,0.007,0.013,0.126,0.095,0.31,2.81,11.481,2.856,0.736,0.806,0.044,thousand_km2
BA_Forest,monthly,WNA,2019,0.0,0.0,0.0,0.026,0.045,0.183,0.303,0.871,0.532,0.703,0.59,0.249,thousand_km2
BA_Forest,monthly,WNA,2020,0.008,0.072,0.041,0.0,0.009,0.14,0.137,7.817,41.282,3.628,1.327,0.017,thousand_km2
BA_Forest,monthly,WNA,2021,0.0,0.277,0.029,0.205,0.332,1.539,20.248,29.689,10.161,0.938,0.029,0.0,thousand_km2
BA_Forest,monthly,WNA,2022,0.022,0.001,0.012,1.503,3.167,0.619,1.892,2.742,7.736,1.127,0.691,0.035,thousand_km2
BA_Forest,monthly,WNA,2023,0.0,0.089,0.007,0.121,0.121,0.271,1.629,6.418,1.223,0.488,0.58,0.001,thousand_km2
BA_Forest,monthly,WNA,2024,0.0,0.0,,,,,,,,,,,thousand_km2
