variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
BA_Forest,monthly,SAM,2001,0.018,0.004,0.007,0.054,0.128,0.578,1.102,37.861,26.296,7.73,0.337,0.002,thousand_km2
BA_Forest,monthly,SAM,2002,0.02,0.051,0.139,0.109,0.394,1.954,5.637,74.839,49.138,45.957,10.692,1.07,thousand_km2
BA_Forest,monthly,SAM,2003,0.184,0.031,0.082,0.162,0.813,0.823,6.611,25.153,42.906,8.679,2.837,0.453,thousand_km2
BA_Forest,monthly,SAM,2004,0.359,0.069,0.093,0.138,0.518,1.173,5.5,50.095,132.492,19.808,1.281,0.285,thousand_km2
BA_Forest,monthly,SAM,2005,0.098,0.074,0.099,0.198,0.318,0.513,4.417,60.66,77.048,10.601,0.757,0.008,thousand_km2
BA_Forest,monthly,SAM,2006,0.184,0.128,0.068,0.042,0.309,0.344,3.94,57.42,51.734,4.394,2.082,0.101,thousand_km2
BA_Forest,monthly,SAM,2007,0.124,0.264,0.269,0.09,0.218,0.952,2.731,116.409,162.462,33.616,0.518,0.132,thousand_km2
BA_Forest,monthly,SAM,2008,0.007,0.06,0.099,0.047,0.144,0.295,2.359,15.352,44.287,11.729,2.522,0.903,thousand_km2
BA_Forest,monthly,SAM,2009,0.746,0.309,0.287,0.149,0.483,0.348,0.671,4.949,13.655,6.24,0.657,0.089,thousand_km2
BA_Forest,monthly,SAM,2010,0.116,0.69,0.36,0.238,0.262,0.8,8.216,141.836,145.298,41.796,4.811,2.975,thousand_km2
BA_Forest,monthly,SAM,2011,0.109,0.019,0.126,0.034,0.076,0.221,0.929,20.251,42.917,9.545,3.067,1.793,thousand_km2
BA_Forest,monthly,SAM,2012,0.583,0.312,0.124,0.046,0.134,0.181,0.897,26.16,52.646,6.824,1.558,0.096,thousand_km2
BA_Forest,monthly,SAM,2013,0.106,0.331,0.375,0.052,0.262,0.114,0.528,12.255,15.243,4.401,1.351,0.669,thousand_km2
BA_Forest,monthly,SAM,2014,0.044,0.096,0.174,0.073,0.161,0.291,0.71,15.07,11.922,9.012,0.461,0.062,thousand_km2
BA_Forest,monthly,SAM,2015,0.941,1.232,0.415,0.037,0.143,0.377,1.019,16.366,36.972,12.947,2.966,1.065,thousand_km2
BA_Forest,monthly,SAM,2016,0.225,0.83,0.43,0.142,0.194,0.306,7.151,36.272,23.974,6.984,0.834,0.29,thousand_km2
BA_Forest,monthly,SAM,2017,0.733,0.253,0.202,0.028,0.188,0.317,2.47,17.322,79.617,10.535,0.736,0.039,thousand_km2
BA_Forest,monthly,SAM,2018,0.598,1.503,0.432,0.038,0.279,0.518,2.125,8.227,27.709,2.023,0.354,0.338,thousand_km2
BA_Forest,monthly,SAM,2019,0.682,0.768,0.24,0.203,0.203,0.516,3.213,79.163,107.962,12.554,5.219,0.494,thousand_km2
BA_Forest,monthly,SAM,2020,1.221,1.051,0.602,0.332,0.317,0.48,2.594,38.436,100.784,49.3,10.638,0.446,thousand_km2
BA_Forest,monthly,SAM,2021,0.187,0.826,0.165,0.146,0.696,1.745,3.81,51.01,52.214,25.15,1.162,0.097,thousand_km2
BA_Forest,monthly,SAM,2022,1.083,0.537,0.25,0.769,1.587,1.863,4.152,28.722,74.136,6.936,10.626,0.81,thousand_km2
BA_Forest,monthly,SAM,2023,0.512,0.725,0.154,0.33,0.622,2.018,3.437,11.928,20.106,37.766,56.618,1.48,thousand_km2
BA_Forest,monthly,SAM,2024,1.559,1.52,,,,,,,,,,,thousand_km2
