variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
Cem_Total,monthly,WCE,2002,0.013,0.165,3.382,0.846,0.003,1.347,5.175,5.677,2.129,0.097,0.079,0.012,thousand_tonnes_C
Cem_Total,monthly,WCE,2003,0.001,0.005,0.651,2.274,0.025,0.055,0.172,0.29,1.177,0.223,0.012,0.0,thousand_tonnes_C
Cem_Total,monthly,WCE,2004,0.0,0.006,0.364,0.966,0.015,0.156,1.577,3.759,2.619,0.737,0.019,0.001,thousand_tonnes_C
Cem_Total,monthly,WCE,2005,0.057,0.198,2.286,4.138,0.012,0.716,3.15,3.935,2.994,2.535,0.016,0.0,thousand_tonnes_C
Cem_Total,monthly,WCE,2006,0.013,0.015,1.088,3.484,0.441,0.49,3.873,3.099,2.144,0.96,0.123,0.003,thousand_tonnes_C
Cem_Total,monthly,WCE,2007,0.02,0.117,5.915,0.076,0.042,1.472,4.465,4.047,1.079,0.356,0.027,0.02,thousand_tonnes_C
Cem_Total,monthly,WCE,2008,0.012,0.145,2.593,0.148,0.006,0.302,4.917,19.989,6.3,0.714,0.187,0.005,thousand_tonnes_C
Cem_Total,monthly,WCE,2009,0.003,0.006,2.523,7.955,0.027,0.294,3.416,4.889,2.194,0.908,0.012,0.0,thousand_tonnes_C
Cem_Total,monthly,WCE,2010,0.0,0.002,1.723,0.84,0.002,0.208,3.385,3.994,1.596,0.767,0.217,0.001,thousand_tonnes_C
Cem_Total,monthly,WCE,2011,0.0,0.038,1.06,0.902,0.009,0.313,1.068,2.005,1.325,1.788,0.334,0.008,thousand_tonnes_C
Cem_Total,monthly,WCE,2012,0.0,0.217,1.505,0.377,0.017,0.101,0.763,0.548,1.362,1.277,0.099,0.0,thousand_tonnes_C
Cem_Total,monthly,WCE,2013,0.001,0.095,0.147,1.021,0.019,0.221,0.613,1.583,0.125,0.708,0.081,0.007,thousand_tonnes_C
Cem_Total,monthly,WCE,2014,0.0,1.001,1.268,0.941,0.014,0.436,2.988,3.421,2.912,5.567,0.428,0.0,thousand_tonnes_C
Cem_Total,monthly,WCE,2015,0.0,0.809,1.418,0.417,0.018,0.324,2.579,3.736,2.622,4.038,0.273,0.01,thousand_tonnes_C
Cem_Total,monthly,WCE,2016,0.0,0.029,0.633,0.328,0.0,0.356,2.434,3.072,0.884,0.608,0.031,0.001,thousand_tonnes_C
Cem_Total,monthly,WCE,2017,0.003,0.282,2.351,0.395,0.017,0.399,4.429,4.079,2.027,0.776,0.016,0.004,thousand_tonnes_C
Cem_Total,monthly,WCE,2018,0.0,0.0,2.411,3.89,0.025,0.415,0.674,1.091,1.086,1.169,0.333,0.0,thousand_tonnes_C
Cem_Total,monthly,WCE,2019,0.007,0.132,2.356,1.777,0.004,0.697,1.374,1.506,1.064,6.233,0.142,0.009,thousand_tonnes_C
Cem_Total,monthly,WCE,2020,0.009,0.406,2.019,1.625,0.02,0.211,1.045,1.207,1.301,1.59,0.105,0.001,thousand_tonnes_C
