variable,timescale,region,tstart,tend,statistic,value,unit
BA_Total,seasonal_jja,SAH,2001,2024,mann_kendall_slope,0.049643,thousand_km2/year
BA_Total,seasonal_jja,SAH,2001,2024,theil_sen_slope,0.055563,thousand_km2/year
BA_Total,seasonal_jja,SAH,2001,2024,theil_sen_slope_lower,-0.078995,thousand_km2/year
BA_Total,seasonal_jja,SAH,2001,2024,theil_sen_slope_upper,0.19012,thousand_km2/year
BA_Total,seasonal_jja,SAH,2001,2024,theil_sen_pvalue_slope,0.418327,1
BA_Total,seasonal_jja,SAH,2001,2024,theil_sen_intercept,1.865399,thousand_km2
BA_Total,seasonal_jja,SAH,2001,2024,theil_sen_intercept_lower,0.059287,thousand_km2
BA_Total,seasonal_jja,SAH,2001,2024,theil_sen_intercept_upper,3.671511,thousand_km2
BA_Total,seasonal_jja,SAH,2001,2024,residual_standard_deviation,1.832601,thousand_km2
