variable,timescale,region,tstart,tend,statistic,value,unit
BA_Forest,yearly,MED,2001,2024,mann_kendall_slope,0.085977,thousand_km2/year
BA_Forest,yearly,MED,2001,2024,theil_sen_slope,0.109829,thousand_km2/year
BA_Forest,yearly,MED,2001,2024,theil_sen_slope_lower,-0.04245,thousand_km2/year
BA_Forest,yearly,MED,2001,2024,theil_sen_slope_upper,0.262108,thousand_km2/year
BA_Forest,yearly,MED,2001,2024,theil_sen_pvalue_slope,0.157479,1
BA_Forest,yearly,MED,2001,2024,theil_sen_intercept,2.642114,thousand_km2
BA_Forest,yearly,MED,2001,2024,theil_sen_intercept_lower,0.598133,thousand_km2
BA_Forest,yearly,MED,2001,2024,theil_sen_intercept_upper,4.686095,thousand_km2
BA_Forest,yearly,MED,2001,2024,residual_standard_deviation,3.269105,thousand_km2
