variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
Cem_Total,monthly,MDG,2002,0.015,0.0,0.081,0.645,0.537,0.644,0.966,1.479,2.254,1.393,0.528,0.007,thousand_tonnes_C
Cem_Total,monthly,MDG,2003,0.0,0.0,0.004,0.2,0.563,0.755,1.382,2.528,3.415,4.604,1.726,0.165,thousand_tonnes_C
Cem_Total,monthly,MDG,2004,0.003,0.0,0.113,0.524,0.761,0.545,0.978,0.936,2.307,1.274,1.964,0.22,thousand_tonnes_C
Cem_Total,monthly,MDG,2005,0.014,0.005,0.126,1.157,1.141,0.517,1.23,2.643,3.089,3.976,3.724,0.422,thousand_tonnes_C
Cem_Total,monthly,MDG,2006,0.015,0.0,0.038,0.116,0.57,0.633,0.74,1.319,2.781,4.448,1.552,0.017,thousand_tonnes_C
Cem_Total,monthly,MDG,2007,0.0,0.0,0.07,0.189,0.561,0.83,1.545,2.418,3.49,3.939,1.439,0.763,thousand_tonnes_C
Cem_Total,monthly,MDG,2008,0.019,0.0,0.015,0.405,0.494,0.548,0.942,1.901,2.035,2.567,0.3,0.114,thousand_tonnes_C
Cem_Total,monthly,MDG,2009,0.002,0.007,0.001,0.293,0.899,0.81,1.114,1.416,2.639,3.351,2.261,0.146,thousand_tonnes_C
Cem_Total,monthly,MDG,2010,0.0,0.0,0.01,0.273,0.744,0.56,1.191,1.322,3.316,3.522,1.819,0.823,thousand_tonnes_C
Cem_Total,monthly,MDG,2011,0.018,0.0,0.026,0.098,0.292,0.507,0.886,1.635,3.073,2.696,2.888,0.759,thousand_tonnes_C
Cem_Total,monthly,MDG,2012,0.0,0.0,0.0,0.1,0.49,0.376,0.941,1.983,2.292,3.571,0.961,0.299,thousand_tonnes_C
Cem_Total,monthly,MDG,2013,0.0,0.0,0.071,0.591,0.806,0.771,0.679,1.944,2.856,3.458,2.262,0.169,thousand_tonnes_C
Cem_Total,monthly,MDG,2014,0.002,0.0,0.011,0.357,0.776,0.622,0.646,1.106,2.415,2.274,0.981,0.064,thousand_tonnes_C
Cem_Total,monthly,MDG,2015,0.019,0.0,0.032,0.288,0.392,0.493,0.702,1.144,1.684,2.043,3.444,0.137,thousand_tonnes_C
Cem_Total,monthly,MDG,2016,0.0,0.0,0.006,1.387,1.257,0.653,0.913,1.58,2.09,4.641,1.685,0.337,thousand_tonnes_C
Cem_Total,monthly,MDG,2017,0.284,0.002,0.004,0.231,0.71,0.664,1.113,1.05,2.282,2.818,2.3,0.004,thousand_tonnes_C
Cem_Total,monthly,MDG,2018,0.047,0.0,0.007,0.148,0.799,0.933,0.851,1.828,2.719,2.329,0.774,0.255,thousand_tonnes_C
Cem_Total,monthly,MDG,2019,0.0,0.002,0.009,0.361,0.392,0.49,1.198,2.401,1.701,2.04,1.643,0.032,thousand_tonnes_C
Cem_Total,monthly,MDG,2020,0.0,0.009,0.157,0.738,1.125,0.973,1.076,0.788,2.452,2.007,2.022,0.426,thousand_tonnes_C
