variable,timescale,region,tstart,tend,statistic,value,unit
Cem_Forest,yearly_jj,SEA,2002,2020,mann_kendall_slope,-0.399875,thousand_tonnes_C/year
Cem_Forest,yearly_jj,SEA,2002,2020,theil_sen_slope,-0.297297,thousand_tonnes_C/year
Cem_Forest,yearly_jj,SEA,2002,2020,theil_sen_slope_lower,-2.955118,thousand_tonnes_C/year
Cem_Forest,yearly_jj,SEA,2002,2020,theil_sen_slope_upper,2.360524,thousand_tonnes_C/year
Cem_Forest,yearly_jj,SEA,2002,2020,theil_sen_pvalue_slope,0.826466,1
Cem_Forest,yearly_jj,SEA,2002,2020,theil_sen_intercept,41.653037,thousand_tonnes_C
Cem_Forest,yearly_jj,SEA,2002,2020,theil_sen_intercept_lower,13.651155,thousand_tonnes_C
Cem_Forest,yearly_jj,SEA,2002,2020,theil_sen_intercept_upper,69.654919,thousand_tonnes_C
Cem_Forest,yearly_jj,SEA,2002,2020,residual_standard_deviation,33.602254,thousand_tonnes_C
