variable,timescale,region,tstart,tend,statistic,value,unit
BA_Forest,yearly_jj,SAS,2001,2024,mann_kendall_slope,-0.937909,thousand_km2/year
BA_Forest,yearly_jj,SAS,2001,2024,theil_sen_slope,-1.348407,thousand_km2/year
BA_Forest,yearly_jj,SAS,2001,2024,theil_sen_slope_lower,-3.632631,thousand_km2/year
BA_Forest,yearly_jj,SAS,2001,2024,theil_sen_slope_upper,0.935817,thousand_km2/year
BA_Forest,yearly_jj,SAS,2001,2024,theil_sen_pvalue_slope,0.247276,1
BA_Forest,yearly_jj,SAS,2001,2024,theil_sen_intercept,99.616013,thousand_km2
BA_Forest,yearly_jj,SAS,2001,2024,theil_sen_intercept_lower,68.955748,thousand_km2
BA_Forest,yearly_jj,SAS,2001,2024,theil_sen_intercept_upper,130.276279,thousand_km2
BA_Forest,yearly_jj,SAS,2001,2024,residual_standard_deviation,39.522055,thousand_km2
