variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
Cem_Forest,monthly,NES,2002,0.0,0.002,0.0,0.0,0.005,0.043,0.196,2.054,4.089,2.651,2.092,0.603,thousand_tonnes_C
Cem_Forest,monthly,NES,2003,0.067,0.016,0.004,0.003,0.004,0.022,0.131,0.47,2.565,2.338,1.551,1.283,thousand_tonnes_C
Cem_Forest,monthly,NES,2004,0.002,0.001,0.001,0.0,0.007,0.02,0.094,0.581,2.458,1.841,2.589,1.543,thousand_tonnes_C
Cem_Forest,monthly,NES,2005,0.055,0.008,0.001,0.002,0.001,0.009,0.131,1.619,4.184,5.632,4.653,0.191,thousand_tonnes_C
Cem_Forest,monthly,NES,2006,0.015,0.032,0.006,0.0,0.001,0.011,0.049,0.286,1.024,0.791,0.927,0.483,thousand_tonnes_C
Cem_Forest,monthly,NES,2007,0.037,0.004,0.009,0.001,0.005,0.045,0.279,6.357,11.249,5.415,2.831,0.1,thousand_tonnes_C
Cem_Forest,monthly,NES,2008,0.015,0.007,0.002,0.0,0.001,0.008,0.045,0.337,0.875,2.221,1.451,0.396,thousand_tonnes_C
Cem_Forest,monthly,NES,2009,0.025,0.007,0.007,0.0,0.002,0.004,0.036,0.156,0.803,0.59,2.141,1.417,thousand_tonnes_C
Cem_Forest,monthly,NES,2010,0.021,0.005,0.001,0.001,0.008,0.065,0.372,3.587,11.24,2.761,0.2,0.058,thousand_tonnes_C
Cem_Forest,monthly,NES,2011,0.002,0.002,0.005,0.0,0.002,0.014,0.087,0.712,3.004,0.359,0.198,0.566,thousand_tonnes_C
Cem_Forest,monthly,NES,2012,0.015,0.003,0.002,0.008,0.002,0.01,0.404,4.057,5.988,3.036,1.413,0.062,thousand_tonnes_C
Cem_Forest,monthly,NES,2013,0.041,0.019,0.028,0.003,0.007,0.01,0.033,0.397,1.847,1.115,0.084,0.267,thousand_tonnes_C
Cem_Forest,monthly,NES,2014,0.004,0.004,0.005,0.0,0.004,0.01,0.115,1.186,1.392,2.198,0.429,0.224,thousand_tonnes_C
Cem_Forest,monthly,NES,2015,0.02,0.008,0.003,0.001,0.009,0.011,0.099,1.136,3.686,8.002,6.799,13.941,thousand_tonnes_C
Cem_Forest,monthly,NES,2016,0.106,0.013,0.011,0.001,0.008,0.017,0.573,1.798,2.824,3.074,1.311,0.126,thousand_tonnes_C
Cem_Forest,monthly,NES,2017,0.01,0.001,0.002,0.001,0.002,0.01,0.11,1.45,14.262,6.552,1.721,2.892,thousand_tonnes_C
Cem_Forest,monthly,NES,2018,0.005,0.007,0.003,0.001,0.004,0.005,0.156,0.896,1.53,0.801,0.328,0.011,thousand_tonnes_C
Cem_Forest,monthly,NES,2019,0.013,0.034,0.041,0.001,0.005,0.015,0.102,1.284,3.656,1.263,1.1,0.132,thousand_tonnes_C
Cem_Forest,monthly,NES,2020,0.02,0.008,0.003,0.001,0.01,0.009,0.044,0.711,3.832,3.132,0.047,0.06,thousand_tonnes_C
