variable,timescale,region,year,1,2,3,4,5,6,7,8,9,10,11,12,unit
BA_Total,monthly,TIB,2001,0.274,0.191,2.139,5.604,0.974,0.0,0.0,0.0,0.964,4.622,0.358,0.102,thousand_km2
BA_Total,monthly,TIB,2002,0.016,0.063,1.206,1.658,12.95,0.02,0.0,0.0,5.253,31.45,3.149,0.162,thousand_km2
BA_Total,monthly,TIB,2003,0.387,0.304,0.385,11.88,13.812,2.639,0.0,0.0,5.809,35.105,4.211,0.325,thousand_km2
BA_Total,monthly,TIB,2004,0.029,0.396,8.776,4.163,16.963,0.054,0.0,0.027,2.341,41.97,4.891,0.04,thousand_km2
BA_Total,monthly,TIB,2005,0.008,0.291,1.197,9.221,17.355,2.335,0.006,0.0,3.996,21.463,24.528,0.087,thousand_km2
BA_Total,monthly,TIB,2006,0.496,0.261,2.401,6.028,5.083,0.047,0.0,0.009,10.095,33.939,7.609,0.26,thousand_km2
BA_Total,monthly,TIB,2007,0.348,0.234,1.099,4.144,3.864,1.667,0.0,0.001,12.304,31.97,18.469,0.342,thousand_km2
BA_Total,monthly,TIB,2008,0.13,0.332,2.805,11.497,7.359,0.0,0.0,0.0,1.579,23.111,29.256,0.113,thousand_km2
BA_Total,monthly,TIB,2009,0.399,0.487,2.825,15.877,4.957,1.208,0.005,0.0,0.882,22.881,37.716,0.044,thousand_km2
BA_Total,monthly,TIB,2010,0.508,0.123,5.994,12.843,7.32,0.006,0.0,0.0,1.101,33.307,23.736,0.044,thousand_km2
BA_Total,monthly,TIB,2011,0.077,0.273,1.719,6.571,3.887,0.041,0.0,0.0,1.151,37.82,30.583,0.193,thousand_km2
BA_Total,monthly,TIB,2012,0.191,0.599,2.019,10.077,15.136,1.725,0.0,0.0,1.287,32.464,33.219,0.415,thousand_km2
BA_Total,monthly,TIB,2013,0.179,0.33,2.275,9.25,21.714,0.03,0.0,0.0,0.904,28.175,33.807,0.035,thousand_km2
BA_Total,monthly,TIB,2014,0.081,0.186,2.901,6.068,5.653,4.484,0.0,0.0,1.061,27.463,40.861,0.042,thousand_km2
BA_Total,monthly,TIB,2015,0.06,0.283,0.574,0.883,3.282,0.843,0.0,0.0,1.243,15.799,44.28,0.18,thousand_km2
BA_Total,monthly,TIB,2016,0.209,0.604,1.654,41.034,11.169,0.01,0.0,0.0,3.517,29.022,39.82,0.416,thousand_km2
BA_Total,monthly,TIB,2017,0.252,0.413,1.72,7.102,8.471,0.179,0.0,0.0,0.968,33.656,11.889,0.083,thousand_km2
BA_Total,monthly,TIB,2018,0.476,0.271,2.883,6.718,10.046,0.111,0.0,0.0,0.512,21.77,38.557,0.082,thousand_km2
BA_Total,monthly,TIB,2019,0.255,0.174,2.463,9.764,15.073,1.489,0.0,0.0,1.39,31.83,31.703,0.026,thousand_km2
BA_Total,monthly,TIB,2020,0.045,0.172,0.382,2.837,5.503,0.361,0.0,0.0,3.161,30.916,34.069,0.405,thousand_km2
BA_Total,monthly,TIB,2021,0.477,0.71,8.706,15.526,1.714,0.008,0.0,0.0,0.359,19.324,47.849,0.028,thousand_km2
BA_Total,monthly,TIB,2022,0.058,0.141,1.087,14.497,7.897,0.639,0.0,0.0,0.133,18.298,42.31,0.141,thousand_km2
BA_Total,monthly,TIB,2023,0.261,0.715,0.307,11.404,7.145,0.687,0.0,0.0,0.93,20.111,27.601,0.183,thousand_km2
BA_Total,monthly,TIB,2024,0.275,0.122,,,,,,,,,,,thousand_km2
